20.0,2.45,0.35,0.46,0.26,0.74
20.0,2.45,0.40,0.47,0.43,0.57
20.0,2.47,0.33,0.39,0.21,0.79
20.0,2.48,0.49,0.32,0.58,0.42
20.0,2.50,0.38,0.34,0.28,0.72
20.0,2.51,0.25,0.55,0.34,0.66
20.0,2.51,0.28,0.18,0.20,0.80
20.0,2.51,0.30,0.41,0.29,0.72
20.0,2.52,0.37,0.46,0.49,0.51
20.0,2.53,0.25,0.45,0.33,0.67
20.0,2.53,0.35,0.28,0.33,0.67
20.0,2.53,0.38,0.43,0.44,0.56
20.0,2.56,0.31,0.46,0.31,0.70
20.0,2.57,0.27,0.69,0.25,0.75
20.0,2.60,0.11,0.43,0.51,0.49
20.0,2.60,0.13,0.00,1.00,0.00
20.0,2.60,0.21,0.56,0.30,0.70
20.0,2.60,0.29,0.51,0.30,0.70
20.0,2.60,0.36,0.44,0.24,0.76
20.0,2.60,0.53,0.00,0.50,0.50
20.0,2.62,0.34,0.37,0.24,0.76
20.0,2.64,0.11,0.43,0.51,0.49
20.0,2.64,0.34,0.36,0.24,0.76
20.0,2.65,0.12,0.43,0.51,0.49
20.0,2.65,0.16,0.18,0.75,0.25
20.0,2.65,0.18,0.08,0.55,0.45
20.0,2.65,0.37,0.57,0.31,0.69
20.0,2.66,0.16,0.00,0.84,0.16
20.0,2.66,0.28,0.18,0.20,0.80
20.0,2.66,0.37,0.52,0.29,0.71
20.0,2.67,0.21,0.62,0.26,0.74
20.0,2.67,0.22,0.00,0.01,0.99
20.0,2.67,0.42,0.75,0.32,0.68
20.0,2.68,0.19,0.58,0.22,0.78
20.0,2.68,0.27,0.53,0.42,0.58
20.0,2.68,0.38,0.49,0.28,0.72
